Date,Product,Category,Stock_Level,Units_Sold,Reorder_Point,Lead_Time
2024-01-01,Laptop Pro,Electronics,450,120,200,7
2024-01-01,Wireless Mouse,Accessories,1200,380,500,3
2024-01-01,Office Chair,Furniture,180,45,80,14
2024-01-01,Standing Desk,Furniture,95,28,50,21
2024-01-01,USB Hub,Accessories,800,250,300,3
2024-01-01,Monitor 27in,Electronics,320,85,150,10
2024-01-01,Keyboard MX,Accessories,650,190,250,5
2024-01-01,Webcam HD,Electronics,420,110,200,7
2024-02-01,Laptop Pro,Electronics,380,135,200,7
2024-02-01,Wireless Mouse,Accessories,1050,410,500,3
2024-02-01,Office Chair,Furniture,165,52,80,14
2024-02-01,Standing Desk,Furniture,82,35,50,21
2024-02-01,USB Hub,Accessories,720,270,300,3
2024-02-01,Monitor 27in,Electronics,285,92,150,10
2024-02-01,Keyboard MX,Accessories,580,210,250,5
2024-02-01,Webcam HD,Electronics,360,125,200,7
2024-03-01,Laptop Pro,Electronics,420,140,200,7
2024-03-01,Wireless Mouse,Accessories,1150,395,500,3
2024-03-01,Office Chair,Furniture,175,48,80,14
2024-03-01,Standing Desk,Furniture,90,30,50,21
2024-03-01,USB Hub,Accessories,780,260,300,3
2024-03-01,Monitor 27in,Electronics,310,88,150,10
2024-03-01,Keyboard MX,Accessories,620,200,250,5
2024-03-01,Webcam HD,Electronics,390,118,200,7
2024-04-01,Laptop Pro,Electronics,440,145,200,7
2024-04-01,Wireless Mouse,Accessories,1180,400,500,3
2024-04-01,Office Chair,Furniture,195,50,80,14
2024-04-01,Standing Desk,Furniture,98,32,50,21
2024-04-01,USB Hub,Accessories,810,255,300,3
2024-04-01,Monitor 27in,Electronics,340,90,150,10
2024-04-01,Keyboard MX,Accessories,660,195,250,5
2024-04-01,Webcam HD,Electronics,410,115,200,7
2024-05-01,Laptop Pro,Electronics,460,150,200,7
2024-05-01,Wireless Mouse,Accessories,1220,420,500,3
2024-05-01,Office Chair,Furniture,185,55,80,14
2024-05-01,Standing Desk,Furniture,88,38,50,21
2024-05-01,USB Hub,Accessories,760,280,300,3
2024-05-01,Monitor 27in,Electronics,300,95,150,10
2024-05-01,Keyboard MX,Accessories,590,220,250,5
2024-05-01,Webcam HD,Electronics,370,130,200,7
2024-06-01,Laptop Pro,Electronics,400,155,200,7
2024-06-01,Wireless Mouse,Accessories,1100,430,500,3
2024-06-01,Office Chair,Furniture,170,58,80,14
2024-06-01,Standing Desk,Furniture,78,40,50,21
2024-06-01,USB Hub,Accessories,700,290,300,3
2024-06-01,Monitor 27in,Electronics,270,98,150,10
2024-06-01,Keyboard MX,Accessories,550,230,250,5
2024-06-01,Webcam HD,Electronics,340,135,200,7
2024-07-01,Laptop Pro,Electronics,480,148,200,7
2024-07-01,Wireless Mouse,Accessories,1250,415,500,3
2024-07-01,Office Chair,Furniture,200,52,80,14
2024-07-01,Standing Desk,Furniture,100,35,50,21
2024-07-01,USB Hub,Accessories,830,265,300,3
2024-07-01,Monitor 27in,Electronics,350,92,150,10
2024-07-01,Keyboard MX,Accessories,670,205,250,5
2024-07-01,Webcam HD,Electronics,430,120,200,7
2024-08-01,Laptop Pro,Electronics,500,160,200,7
2024-08-01,Wireless Mouse,Accessories,1300,440,500,3
2024-08-01,Office Chair,Furniture,210,60,80,14
2024-08-01,Standing Desk,Furniture,105,42,50,21
2024-08-01,USB Hub,Accessories,850,285,300,3
2024-08-01,Monitor 27in,Electronics,365,100,150,10
2024-08-01,Keyboard MX,Accessories,700,225,250,5
2024-08-01,Webcam HD,Electronics,450,138,200,7
2024-09-01,Laptop Pro,Electronics,470,165,200,7
2024-09-01,Wireless Mouse,Accessories,1180,450,500,3
2024-09-01,Office Chair,Furniture,190,62,80,14
2024-09-01,Standing Desk,Furniture,92,44,50,21
2024-09-01,USB Hub,Accessories,790,300,300,3
2024-09-01,Monitor 27in,Electronics,330,105,150,10
2024-09-01,Keyboard MX,Accessories,640,235,250,5
2024-09-01,Webcam HD,Electronics,380,142,200,7
2024-10-01,Laptop Pro,Electronics,520,158,200,7
2024-10-01,Wireless Mouse,Accessories,1350,435,500,3
2024-10-01,Office Chair,Furniture,220,58,80,14
2024-10-01,Standing Desk,Furniture,110,38,50,21
2024-10-01,USB Hub,Accessories,870,275,300,3
2024-10-01,Monitor 27in,Electronics,380,98,150,10
2024-10-01,Keyboard MX,Accessories,720,215,250,5
2024-10-01,Webcam HD,Electronics,460,132,200,7
