Date,Campaign,Channel,Clicks,Impressions,CTR,Conversions,Spend,ROAS
2024-01-05,Winter Sale,Google Ads,4500,125000,3.6,180,45000,5.2
2024-01-05,Brand Awareness,Facebook,3200,180000,1.78,95,28000,3.8
2024-01-05,Product Launch,Instagram,2800,95000,2.95,120,22000,6.1
2024-01-10,Winter Sale,Email,5200,42000,12.38,310,8500,15.4
2024-01-10,Retargeting,Google Ads,3800,68000,5.59,215,35000,6.8
2024-01-15,Brand Awareness,LinkedIn,1500,62000,2.42,45,18000,2.9
2024-01-15,Product Launch,Google Ads,4100,110000,3.73,165,42000,4.5
2024-01-20,Winter Sale,Facebook,3600,165000,2.18,130,32000,4.2
2024-02-01,Valentine Special,Instagram,3100,105000,2.95,145,25000,6.5
2024-02-01,Brand Awareness,Google Ads,4800,135000,3.56,175,48000,4.1
2024-02-05,Valentine Special,Email,5800,45000,12.89,340,9000,16.2
2024-02-05,Retargeting,Facebook,2900,72000,4.03,110,21000,5.9
2024-02-10,Product Launch,LinkedIn,1800,58000,3.1,52,19500,3.1
2024-02-10,Valentine Special,Google Ads,4300,120000,3.58,185,44000,4.7
2024-02-15,Brand Awareness,Instagram,2600,88000,2.95,105,20000,5.8
2024-02-20,Retargeting,Email,6200,48000,12.92,365,10000,15.8
2024-03-01,Spring Campaign,Google Ads,5100,140000,3.64,195,50000,4.4
2024-03-01,Spring Campaign,Facebook,3400,175000,1.94,125,30000,4.6
2024-03-05,Brand Awareness,Instagram,2900,92000,3.15,115,21000,6.0
2024-03-05,Product Launch,LinkedIn,1600,55000,2.91,48,17500,3.2
2024-03-10,Spring Campaign,Email,5500,46000,11.96,325,9200,14.9
2024-03-10,Retargeting,Google Ads,4000,75000,5.33,220,37000,6.5
2024-03-15,Brand Awareness,Google Ads,4600,130000,3.54,170,46000,4.2
2024-03-20,Spring Campaign,Instagram,3200,100000,3.2,140,24000,6.3
2024-04-01,Easter Promo,Google Ads,5300,145000,3.66,200,52000,4.3
2024-04-01,Easter Promo,Facebook,3700,185000,2.0,135,33000,4.5
2024-04-05,Brand Awareness,LinkedIn,1700,60000,2.83,50,18500,3.0
